primary_category,sub_category_1,sub_category_2
Household Essentials,Paper & Plastic,Toilet Paper
Beauty,Makeup,Face Makeup
Health and Medicine,Vitamins and Supplements,Superfoods
Health and Medicine,First Aid,Isopropyl Alcohol
Food,Fresh Produce,Organic Produce
Household Essentials,Cleaning Supplies,Surface Care & Protection
Personal Care,Oral Care,Clean Living Oral Care
Beauty,Beauty Best Sellers,Haircare Best Sellers
Household Essentials,Air Fresheners,Spray Air Fresheners
Premium Beauty,Premium Men's Grooming,Premium Face Care
Home,Decor,Candles & Home Fragrance
Premium Beauty,Premium Bath & Body,Premium Hand Lotions & Foot Creams
Personal Care,Bath & Body,Native
Personal Care,Men's Personal Care,Unavailable
Baby,Toddlers' Room,Toddlers' Room Decor
Health and Medicine,Pain management,Acetaminophen
Personal Care,Sunscreen,Sunscreen
Pets,Dogs,Dog Kennels
Premium Beauty,Premium Hair Care,Premium Hair & Scalp Treatments
Baby,Feeding,Toddler Bibs
Pets,Dogs,Dog Grooming
Household Essentials,Household Essentials by Brand,Febreze
Baby,Feeding,Pacifiers & Teethers
Household Essentials,Batteries,AA Batteries
Pets,Dogs,Dog Potty Training
Food,Beverages,Sports Drinks
Pets,Cats,Cat Grooming
Baby,Diapering,Huggies Baby Wipes
Auto & Tires,Auto Detailing & Car Care,Car Wash Supplies
Beauty,Hair Care,Hair Care Brands
Home,Storage & Organization,Closet Organizers
Household Essentials,Household Essentials by Brand,O-Cedar
Personal Care,Bath & Body,Hand Sanitizing Wipes
Home Improvement,Emergency Prep,Pet Emergency Supplies
Food,Coffee,Espresso
Clothing,Kids Clothing,Boys Clothing
Premium Beauty,Premium K-Beauty,Premium Korean Makeup
Baby,Feeding,NUK Pacifiers
Food,Beverages,Soda Pop
Personal Care,Shaving,Body Hair Removal
Beauty,Hair Care,Hair Styling Tools
Baby,Nursery & Decor,Baby Bassinets & bedside sleepers
Pets,Dogs,"Dog Collars/Leashes/Harnesses"
Auto & Tires,RV Parts & Accessories,RV Patio Accessories
Baby,Strollers,Stroller Accessories
Personal Care,Oral Care,Toothbrushes
Baby,Feeding,Bottle Feeding
Personal Care,Oral Care,Oral Accessories
Home,Decor,Decorative Throws
Home,Kitchen & Dining,Kitchen Storage & Organization
Beauty,Makeup,All Makeup
Household Essentials,Batteries,All Batteries
Beauty,Travel Size Beauty,Travel Size Makeup
Household Essentials,Household Essentials by Brand,Gain
Household Essentials,Cleaning Supplies,Surface Cleaners
Office Supplies,Calculators,Basic Calculators
Beauty,Beauty by Top Brands,NYX Professional Makeup
Household Essentials,Household Essentials by Brand,Seventh Generation
Home Improvement,"Heating/Cooling/Air Quality",Air Quality
Household Essentials,Cleaning Supplies,Disinfectant Cleaners
Beauty,Beauty Best Sellers,Makeup Best Sellers
Beauty,Hair Care,Conditioner
Premium Beauty,Featured Brands,Sebastian Professional
